iter	Passed	Remaining
698	9704	4179
699	9715	4163
700	9729	4150
701	9740	4135
702	9754	4121
703	9768	4107
704	9782	4093
705	9794	4078
706	9807	4064
707	9820	4050
708	9832	4035
709	9846	4021
710	9857	4006
711	9871	3993
712	9884	3978
713	9898	3965
714	9910	3950
715	9924	3936
716	9937	3922
717	9951	3908
718	9966	3894
719	9980	3881
720	9991	3866
721	10004	3852
722	10018	3838
723	10033	3824
724	10046	3810
725	10058	3796
726	10072	3782
727	10089	3769
728	10106	3756
729	10120	3743
730	10135	3729
731	10153	3717
732	10170	3704
733	10184	3690
734	10201	3677
735	10216	3664
736	10231	3651
737	10244	3636
738	10256	3622
739	10269	3608
740	10282	3594
741	10295	3579
742	10307	3565
743	10319	3550
744	10331	3536
745	10347	3523
746	10358	3508
747	10370	3493
748	10382	3479
749	10396	3465
750	10408	3451
751	10425	3438
752	10441	3425
753	10452	3410
754	10469	3397
755	10482	3383
756	10494	3368
757	10506	3354
758	10518	3339
759	10532	3325
760	10545	3311
761	10558	3297
762	10573	3284
763	10584	3269
764	10596	3255
765	10612	3241
766	10625	3227
767	10638	3213
768	10652	3199
769	10664	3185
770	10677	3171
771	10690	3157
772	10702	3142
773	10717	3129
774	10729	3115
775	10741	3100
776	10753	3086
777	10766	3072
778	10777	3057
779	10792	3044
780	10805	3029
781	10817	3015
782	10829	3001
783	10843	2987
784	10857	2973
785	10870	2959
786	10883	2945
787	10898	2931
788	10912	2918
789	10923	2903
790	10937	2890
791	10949	2875
792	10962	2861
793	10975	2847
794	10990	2834
795	11006	2820
796	11018	2806
797	11033	2792
798	11046	2779
799	11069	2767
800	11092	2755
801	11109	2742
802	11123	2729
803	11137	2715
804	11155	2702
805	11172	2689
806	11195	2677
807	11215	2665
808	11238	2653
809	11260	2641
810	11275	2627
811	11288	2613
812	11301	2599
813	11313	2585
814	11328	2571
815	11343	2557
816	11356	2543
817	11370	2529
818	11385	2516
819	11399	2502
820	11414	2488
821	11427	2474
822	11442	2460
823	11454	2446
824	11467	2432
825	11479	2418
826	11492	2404
827	11504	2389
828	11517	2375
829	11530	2361
830	11542	2347
831	11555	2333
832	11567	2319
833	11579	2304
834	11592	2290
835	11607	2277
836	11627	2264
837	11652	2252
838	11675	2240
839	11698	2228
840	11720	2215
841	11738	2202
842	11757	2189
843	11778	2177
844	11791	2162
845	11807	2149
846	11822	2135
847	11840	2122
848	11856	2108
849	11872	2095
850	11888	2081
851	11906	2068
852	11920	2054
853	11938	2041
854	11950	2026
855	11966	2013
856	11981	1999
857	12001	1986
858	12019	1972
859	12035	1959
860	12048	1945
861	12061	1930
862	12074	1916
863	12090	1903
864	12110	1890
865	12125	1876
866	12140	1862
867	12156	1848
868	12173	1835
869	12190	1821
870	12205	1807
871	12221	1793
872	12240	1780
873	12254	1766
874	12272	1753
875	12290	1739
876	12305	1725
877	12321	1712
878	12332	1697
879	12342	1683
880	12353	1668
881	12366	1654
882	12378	1640
883	12395	1626
884	12410	1612
885	12426	1598
886	12439	1584
887	12453	1570
888	12466	1556
889	12479	1542
890	12493	1528
891	12509	1514
892	12526	1500
893	12538	1486
894	12551	1472
895	12565	1458
896	12578	1444
897	12594	1430
898	12607	1416
899	12621	1402
900	12633	1388
901	12644	1373
902	12654	1359
903	12668	1345
904	12682	1331
905	12694	1317
906	12705	1302
907	12718	1288
908	12731	1274
909	12744	1260
910	12755	1246
911	12770	1232
912	12783	1218
913	12797	1204
914	12810	1190
915	12824	1176
916	12839	1162
917	12853	1148
918	12866	1134
919	12878	1119
920	12891	1105
921	12905	1091
922	12919	1077
923	12933	1063
924	12946	1049
925	12959	1035
926	12975	1021
927	12989	1007
928	13004	993
929	13017	979
